Date Time,wind_all_real_time,wind_installed_capacity,elia_day_ahead,elia_hour_ahead,elia_week_ahead
05/01/2015 21,259.05499999999995,1834.7099999999996,,348.6425,
05/01/2015 22,186.015,1834.7099999999996,,345.08000000000004,
05/01/2015 23,164.1,1834.7099999999996,,345.5825,
06/01/2015 00,161.64499999999998,1834.7099999999996,,294.42249999999996,
06/01/2015 01,202.4,1834.7099999999996,,288.965,
06/01/2015 02,267.485,1834.7099999999996,,294.84,
06/01/2015 03,312.33500000000004,1834.7099999999996,,299.1125,
06/01/2015 04,299.9425,1834.7099999999996,,305.46500000000003,
06/01/2015 05,290.3675,1834.7099999999996,,317.485,
06/01/2015 06,251.94,1834.7099999999996,,337.09,
06/01/2015 07,306.38,1834.7099999999996,,355.375,
06/01/2015 08,346.67,1834.7099999999996,,361.1675,
06/01/2015 09,419.6425,1834.7099999999996,,367.05249999999995,
06/01/2015 10,390.60749999999996,1834.7099999999996,,374.9475,
06/01/2015 11,425.985,1834.7099999999996,,376.7775,
06/01/2015 12,468.5375,1834.7099999999996,,368.6375,
06/01/2015 13,430.93,1834.7099999999996,,382.99,
06/01/2015 14,442.6675,1834.7099999999996,,437.31,
06/01/2015 15,574.735,1834.7099999999996,,493.28,
06/01/2015 16,741.0775,1834.7099999999996,,548.4875,
06/01/2015 17,891.125,1834.7099999999996,,605.6225,
06/01/2015 18,830.2749999999999,1834.7099999999996,,665.2525,
06/01/2015 19,907.8,1834.7099999999996,,712.9425000000001,
06/01/2015 20,918.115,1834.7099999999996,,724.6525,
06/01/2015 21,853.4825,1834.7099999999996,,728.8475,
06/01/2015 22,723.0799999999999,1834.7099999999996,,694.4975,
06/01/2015 23,496.96250000000003,1834.7099999999996,,593.3575,
07/01/2015 00,358.1175,1834.7099999999996,,615.7625,
07/01/2015 01,323.5,1834.7099999999996,,528.4549999999999,
07/01/2015 02,304.6725,1834.7099999999996,,458.7775,
07/01/2015 03,235.19,1834.7099999999996,,400.16,
07/01/2015 04,193.035,1834.7099999999996,,346.7475,
07/01/2015 05,209.495,1834.7099999999996,,305.0425,
07/01/2015 06,259.10249999999996,1834.7099999999996,,264.83500000000004,
07/01/2015 07,346.46000000000004,1834.7099999999996,,264.3175,
07/01/2015 08,468.16999999999996,1834.7099999999996,,330.485,
07/01/2015 09,631.88,1834.7099999999996,,398.4825,
07/01/2015 10,657.005,1834.7099999999996,,455.8775,
07/01/2015 11,642.5374999999999,1834.7099999999996,,498.135,
07/01/2015 12,696.6025,1834.7099999999996,,543.3975,
07/01/2015 13,744.325,1834.7099999999996,,596.0774999999999,
07/01/2015 14,800.8175,1834.7099999999996,,665.2675,
07/01/2015 15,906.595,1834.7099999999996,,735.4425000000001,
07/01/2015 16,961.9175,1834.7099999999996,,822.745,
07/01/2015 17,1046.4325000000001,1834.7099999999996,,934.22,
07/01/2015 18,1124.4825,1834.7099999999996,,1041.8425,
07/01/2015 19,1193.6599999999999,1834.7099999999996,,1128.76,
07/01/2015 20,1166.215,1834.7099999999996,,1183.445,
07/01/2015 21,1225.3475,1834.7099999999996,,1241.8049999999998,
07/01/2015 22,1281.0974999999999,1834.7099999999996,,1300.185,
07/01/2015 23,1374.335,1834.7099999999996,,1352.945,
08/01/2015 00,1418.6524999999997,1834.7099999999996,,1341.5925,
08/01/2015 01,1409.105,1834.7099999999996,,1373.8024999999998,
08/01/2015 02,1452.535,1834.7099999999996,,1398.385,
08/01/2015 03,1450.3375,1834.7099999999996,,1427.2174999999997,
08/01/2015 04,1404.9075000000003,1834.7099999999996,,1452.07,
08/01/2015 05,1379.1775,1834.7099999999996,,1463.5975000000003,
08/01/2015 06,1403.3625000000002,1834.7099999999996,,1470.5375,
08/01/2015 07,1402.4075,1834.7099999999996,,1464.2175000000002,
08/01/2015 08,1395.3400000000001,1834.7099999999996,,1449.4375,
08/01/2015 09,1416.805,1834.7099999999996,,1424.095,
08/01/2015 10,1466.8275,1834.7099999999996,,1399.4575,
08/01/2015 11,1191.8574999999998,1834.7099999999996,,1376.7425,
08/01/2015 12,960.4499999999999,1834.7099999999996,,1362.2975000000001,
08/01/2015 13,1238.805,1834.7099999999996,,1347.5149999999999,
08/01/2015 14,1225.57,1834.7099999999996,,1271.5775,
08/01/2015 15,1032.8125,1834.7099999999996,,1224.5124999999998,
08/01/2015 16,1077.155,1834.7099999999996,,1152.9875,
08/01/2015 17,859.545,1834.7099999999996,,1032.795,
08/01/2015 18,1047.715,1834.7099999999996,,904.03,
08/01/2015 19,1144.73,1834.7099999999996,,854.9674999999999,
08/01/2015 20,1188.6525,1834.7099999999996,,929.9475,
08/01/2015 21,1235.4825,1834.7099999999996,,997.14,
08/01/2015 22,1263.2625,1834.7099999999996,,1036.5075,
08/01/2015 23,1113.6425,1834.7099999999996,,1076.875,
09/01/2015 00,1282.41,1834.7099999999996,,1194.1125,
09/01/2015 01,1331.1875,1834.7099999999996,,1262.3424999999997,
09/01/2015 02,1508.79,1834.7099999999996,,1341.3875,
09/01/2015 03,1536.9675,1834.7099999999996,,1421.16,
09/01/2015 04,1572.8025,1834.7099999999996,,1496.28,
09/01/2015 05,1659.7225,1834.7099999999996,,1549.5500000000002,
09/01/2015 06,1592.8725,1834.7099999999996,,1597.695,
09/01/2015 07,1618.545,1834.7099999999996,,1627.1625,
