Date Time,solar_all_real_time,solar_installed_capacity,elia_day_ahead,elia_hour_ahead,elia_week_ahead
08/01/2015 05,0.0,2915.88,0.0,0.0,
08/01/2015 06,0.0,2915.88,0.0,0.0,
08/01/2015 07,0.0,2915.88,0.0,0.0,
08/01/2015 08,0.0,2915.88,0.0275,0.0325,
08/01/2015 09,3.8474999999999997,2915.88,4.0424999999999995,4.4,
08/01/2015 10,24.557499999999997,2915.88,10.5125,11.77,
08/01/2015 11,30.599999999999998,2915.88,20.765,15.9025,
08/01/2015 12,34.85,2915.88,30.6375,18.095,
08/01/2015 13,38.440000000000005,2915.88,26.402500000000003,17.8775,
08/01/2015 14,18.855,2915.88,17.197499999999998,14.0175,
08/01/2015 15,19.7775,2915.88,24.265,10.42,
08/01/2015 16,26.462500000000002,2915.88,10.6,3.7575,
08/01/2015 17,0.0,2915.88,0.0,0.0,
08/01/2015 18,0.0,2915.88,0.0,0.0,
08/01/2015 19,0.0,2915.88,0.0,0.0,
08/01/2015 20,0.0,2915.88,0.0,0.0,
08/01/2015 21,0.0,2915.88,0.0,0.0,
08/01/2015 22,0.0,2915.88,0.0,0.0,
08/01/2015 23,0.0,2915.88,0.0,0.0,
09/01/2015 00,0.0,2915.88,0.0,0.0,
09/01/2015 01,0.0,2915.88,0.0,0.0,
09/01/2015 02,0.0,2915.88,0.0,0.0,
09/01/2015 03,0.0,2915.88,0.0,0.0,
09/01/2015 04,0.0,2915.88,0.0,0.0,
09/01/2015 05,0.0,2915.88,0.0,0.0,
09/01/2015 06,0.0,2915.88,0.0,0.0,
09/01/2015 07,0.0,2915.88,0.0,0.0,
09/01/2015 08,0.005,2915.88,0.0675,0.05,
09/01/2015 09,2.22,2915.88,6.1925,8.545,
09/01/2015 10,27.209999999999997,2915.88,14.7575,23.387500000000003,
09/01/2015 11,65.61749999999999,2915.88,23.7625,35.515,
09/01/2015 12,94.64,2915.88,34.415,50.3725,
09/01/2015 13,114.68499999999999,2915.88,40.885000000000005,60.815,
09/01/2015 14,138.75,2915.88,41.265,63.095,
09/01/2015 15,51.809999999999995,2915.88,24.1675,43.05499999999999,
09/01/2015 16,2.145,2915.88,7.892499999999999,13.567499999999999,
09/01/2015 17,0.0,2915.88,0.0,0.0,
09/01/2015 18,0.0,2915.88,0.0,0.0,
09/01/2015 19,0.0,2915.88,0.0,0.0,
09/01/2015 20,0.0,2915.88,0.0,0.0,
09/01/2015 21,0.0,2915.88,0.0,0.0,
09/01/2015 22,0.0,2915.88,0.0,0.0,
09/01/2015 23,0.0,2915.88,0.0,0.0,
10/01/2015 00,0.0,2915.88,0.0,0.0,
10/01/2015 01,0.0,2915.88,0.0,0.0,
10/01/2015 02,0.0,2915.88,0.0,0.0,
10/01/2015 03,0.0,2915.88,0.0,0.0,
10/01/2015 04,0.0,2915.88,0.0,0.0,
10/01/2015 05,0.0,2915.88,0.0,0.0,
10/01/2015 06,0.0,2915.88,0.0,0.0,
10/01/2015 07,0.0,2915.88,0.0,0.0,
10/01/2015 08,0.0125,2915.88,0.1425,0.1275,
10/01/2015 09,9.4925,2915.88,9.34,7.977500000000001,
10/01/2015 10,51.06,2915.88,22.6675,20.12,
10/01/2015 11,94.6975,2915.88,34.0,31.310000000000002,
10/01/2015 12,101.1075,2915.88,34.675,35.81,
10/01/2015 13,107.09,2915.88,26.765,30.7825,
10/01/2015 14,88.6025,2915.88,16.8075,21.42,
10/01/2015 15,65.15,2915.88,9.780000000000001,15.475000000000001,
10/01/2015 16,27.2125,2915.88,3.4999999999999996,5.932499999999999,
10/01/2015 17,0.0,2915.88,0.0,0.0,
10/01/2015 18,0.0,2915.88,0.0,0.0,
10/01/2015 19,0.0,2915.88,0.0,0.0,
10/01/2015 20,0.0,2915.88,0.0,0.0,
10/01/2015 21,0.0,2915.88,0.0,0.0,
10/01/2015 22,0.0,2915.88,0.0,0.0,
10/01/2015 23,0.0,2915.88,0.0,0.0,
11/01/2015 00,0.0,2915.88,0.0,0.0,
11/01/2015 01,0.0,2915.88,0.0,0.0,
11/01/2015 02,0.0,2915.88,0.0,0.0,
11/01/2015 03,0.0,2915.88,0.0,0.0,
11/01/2015 04,0.0,2915.88,0.0,0.0,
11/01/2015 05,0.0,2915.88,0.0,0.0,
11/01/2015 06,0.0,2915.88,0.0,0.0,
11/01/2015 07,0.0,2915.88,0.0,0.0,
11/01/2015 08,0.0275,2915.88,0.8725,0.715,
11/01/2015 09,41.3675,2915.88,111.41,99.0475,
11/01/2015 10,227.89,2915.88,360.655,363.45,
11/01/2015 11,395.64750000000004,2915.88,533.3924999999999,602.7225,
11/01/2015 12,507.97249999999997,2915.88,629.65,646.0975000000001,
11/01/2015 13,497.13,2915.88,605.1399999999999,551.4425,
11/01/2015 14,429.885,2915.88,523.8025,430.45000000000005,
11/01/2015 15,225.83999999999997,2915.88,307.9875,253.3625,
11/01/2015 16,44.7475,2915.88,88.5475,74.53,
11/01/2015 17,0.0,2915.88,0.0,0.0,
11/01/2015 18,0.0,2915.88,0.0,0.0,
11/01/2015 19,0.0,2915.88,0.0,0.0,
11/01/2015 20,0.0,2915.88,0.0,0.0,
11/01/2015 21,0.0,2915.88,0.0,0.0,
11/01/2015 22,0.0,2915.88,0.0,0.0,
11/01/2015 23,0.0,2915.88,0.0,0.0,
12/01/2015 00,0.0,2915.88,0.0,0.0,
12/01/2015 01,0.0,2915.88,0.0,0.0,
12/01/2015 02,0.0,2915.88,0.0,0.0,
12/01/2015 03,0.0,2915.88,0.0,0.0,
12/01/2015 04,0.0,2915.88,0.0,0.0,
12/01/2015 05,0.0,2915.88,0.0,0.0,
12/01/2015 06,0.0,2915.88,0.0,0.0,
12/01/2015 07,0.0,2915.88,0.0,0.0,
12/01/2015 08,0.0075,2915.88,0.37,0.18,
12/01/2015 09,8.969999999999999,2915.88,18.9125,10.585,
12/01/2015 10,56.995000000000005,2915.88,49.5175,31.015,
12/01/2015 11,100.4225,2915.88,66.6075,54.98500000000001,
12/01/2015 12,118.995,2915.88,68.6425,71.3,
12/01/2015 13,124.3525,2915.88,59.62,71.9925,
12/01/2015 14,110.55,2915.88,45.295,55.47,
12/01/2015 15,73.82,2915.88,29.619999999999997,36.302499999999995,
12/01/2015 16,15.9875,2915.88,11.3925,13.909999999999998,
12/01/2015 17,0.0,2915.88,0.0,0.0,
12/01/2015 18,0.0,2915.88,0.0,0.0,
12/01/2015 19,0.0,2915.88,0.0,0.0,
12/01/2015 20,0.0,2915.88,0.0,0.0,
12/01/2015 21,0.0,2915.88,0.0,0.0,
12/01/2015 22,0.0,2915.88,0.0,0.0,
12/01/2015 23,0.0,2915.88,0.0,0.0,
13/01/2015 00,0.0,2915.88,0.0,0.0,
13/01/2015 01,0.0,2915.88,0.0,0.0,
13/01/2015 02,0.0,2915.88,0.0,0.0,
13/01/2015 03,0.0,2915.88,0.0,0.0,
13/01/2015 04,0.0,2915.88,0.0,0.0,
13/01/2015 05,0.0,2915.88,0.0,0.0,
13/01/2015 06,0.0,2915.88,0.0,0.0,
13/01/2015 07,0.0,2915.88,0.0,0.0,
13/01/2015 08,0.425,2915.88,1.425,0.6025,
13/01/2015 09,69.46000000000001,2915.88,63.1525,24.7925,
13/01/2015 10,145.0975,2915.88,176.435,113.105,
13/01/2015 11,134.0425,2915.88,200.33249999999998,173.6725,
13/01/2015 12,111.93,2915.88,143.38,178.1725,
13/01/2015 13,100.77250000000001,2915.88,77.9425,111.7175,
13/01/2015 14,130.33,2915.88,46.6525,44.685,
13/01/2015 15,102.38750000000002,2915.88,31.8275,30.954999999999995,
13/01/2015 16,38.137499999999996,2915.88,12.9375,13.4725,
13/01/2015 17,0.0375,2915.88,0.0125,0.025,
13/01/2015 18,0.0,2915.88,0.0,0.0,
13/01/2015 19,0.0,2915.88,0.0,0.0,
13/01/2015 20,0.0,2915.88,0.0,0.0,
13/01/2015 21,0.0,2915.88,0.0,0.0,
13/01/2015 22,0.0,2915.88,0.0,0.0,
13/01/2015 23,0.0,2915.88,0.0,0.0,
14/01/2015 00,0.0,2915.88,0.0,0.0,
14/01/2015 01,0.0,2915.88,0.0,0.0,
14/01/2015 02,0.0,2915.88,0.0,0.0,
14/01/2015 03,0.0,2915.88,0.0,0.0,
14/01/2015 04,0.0,2915.88,0.0,0.0,
14/01/2015 05,0.0,2915.88,0.0,0.0,
14/01/2015 06,0.0,2915.88,0.0,0.0,
14/01/2015 07,0.0,2915.88,0.0,0.0,
14/01/2015 08,0.015,2915.88,1.2975,0.75,
14/01/2015 09,10.28,2915.88,57.167500000000004,39.4375,
14/01/2015 10,41.7025,2915.88,141.10250000000002,94.1825,
14/01/2015 11,118.29499999999999,2915.88,204.775,129.4,
14/01/2015 12,237.16,2915.88,282.735,196.34500000000003,
14/01/2015 13,463.63250000000005,2915.88,383.0125,307.14250000000004,
14/01/2015 14,557.045,2915.88,433.9175,400.0675,
14/01/2015 15,348.7575,2915.88,302.40999999999997,293.75,
14/01/2015 16,116.91,2915.88,111.82749999999999,110.81250000000001,
14/01/2015 17,0.1375,2915.88,0.4075,0.435,
14/01/2015 18,0.0,2915.88,0.0,0.0,
14/01/2015 19,0.0,2915.88,0.0,0.0,
14/01/2015 20,0.0,2915.88,0.0,0.0,
14/01/2015 21,0.0,2915.88,0.0,0.0,
14/01/2015 22,0.0,2915.88,0.0,0.0,
14/01/2015 23,0.0,2915.88,0.0,0.0,
15/01/2015 00,0.0,2915.88,0.0,0.0,
15/01/2015 01,0.0,2915.88,0.0,0.0,
15/01/2015 02,0.0,2915.88,0.0,0.0,
15/01/2015 03,0.0,2915.88,0.0,0.0,
15/01/2015 04,0.0,2915.88,0.0,0.0,
15/01/2015 05,0.0,2915.88,0.0,0.0,
15/01/2015 06,0.0,2915.88,0.0,0.0,
15/01/2015 07,0.0,2915.88,0.0,0.0,
15/01/2015 08,0.0425,2915.88,0.465,0.4125,
15/01/2015 09,21.957500000000003,2915.88,13.107500000000002,11.135,
15/01/2015 10,52.6375,2915.88,32.1575,29.305,
15/01/2015 11,78.13,2915.88,43.587500000000006,43.525000000000006,
15/01/2015 12,101.76249999999999,2915.88,44.419999999999995,64.2025,
15/01/2015 13,118.89250000000001,2915.88,40.745,70.865,
15/01/2015 14,106.42,2915.88,33.3575,58.0425,
15/01/2015 15,74.105,2915.88,22.6175,41.43,
15/01/2015 16,31.447499999999998,2915.88,9.3225,17.427500000000002,
15/01/2015 17,0.2225,2915.88,0.0875,0.185,
15/01/2015 18,0.0,2915.88,0.0,0.0,
15/01/2015 19,0.0,2915.88,0.0,0.0,
15/01/2015 20,0.0,2915.88,0.0,0.0,
15/01/2015 21,0.0,2915.88,0.0,0.0,
15/01/2015 22,0.0,2915.88,0.0,0.0,
15/01/2015 23,0.0,2915.88,0.0,0.0,
16/01/2015 00,0.0,2915.88,0.0,0.0,
16/01/2015 01,0.0,2915.88,0.0,0.0,
16/01/2015 02,0.0,2915.88,0.0,0.0,
16/01/2015 03,0.0,2915.88,0.0,0.0,
16/01/2015 04,0.0,2915.88,0.0,0.0,
16/01/2015 05,0.0,2915.88,0.0,0.0,
16/01/2015 06,0.0,2915.88,0.0,0.0,
16/01/2015 07,0.0,2915.88,0.0,0.0,
16/01/2015 08,0.095,2915.88,2.0625,2.0075,
16/01/2015 09,49.6025,2915.88,97.10499999999999,90.2875,
