Date Time,load_all_real_time,elia_day_ahead
10/01/2015 07,9489.6975,9361.8575
10/01/2015 08,10176.27,9938.6275
10/01/2015 09,10684.215,10487.994999999999
10/01/2015 10,11084.5775,10773.1425
10/01/2015 11,11232.4475,10990.5225
10/01/2015 12,11292.4375,10972.68
10/01/2015 13,11068.445,10853.41
10/01/2015 14,10861.54,10567.205000000002
10/01/2015 15,10872.050000000001,10644.744999999999
10/01/2015 16,10887.26,10731.695
10/01/2015 17,11480.794999999998,11387.9975
10/01/2015 18,11693.7375,11372.965
10/01/2015 19,11249.2575,11088.744999999999
10/01/2015 20,10809.9575,10484.32
10/01/2015 21,10403.24,10288.3725
10/01/2015 22,10497.285,10210.380000000001
10/01/2015 23,10555.15,10314.4
11/01/2015 00,10035.0225,9774.805
11/01/2015 01,9647.7625,9391.15
11/01/2015 02,9216.1225,8959.3025
11/01/2015 03,8983.025000000001,7546.924999999999
11/01/2015 04,8942.8175,8518.067500000001
11/01/2015 05,8867.912499999999,8719.26
11/01/2015 06,8954.6475,8738.35
11/01/2015 07,8976.265,8820.1675
11/01/2015 08,9403.4175,9158.3525
11/01/2015 09,9962.255000000001,9666.76
11/01/2015 10,10349.102499999999,10200.9875
11/01/2015 11,10679.605,10512.905
11/01/2015 12,10895.72,10633.682499999999
11/01/2015 13,10659.3625,10433.675
11/01/2015 14,10344.5175,10206.2875
11/01/2015 15,10187.175,10168.95
11/01/2015 16,10286.0775,10195.7925
11/01/2015 17,11096.589999999998,10829.7425
11/01/2015 18,11454.2225,11155.425
11/01/2015 19,11314.86,11058.910000000002
11/01/2015 20,10947.7875,10933.425
11/01/2015 21,10460.427500000002,10450.817500000001
11/01/2015 22,10566.555,10253.8675
11/01/2015 23,10563.585,10296.032500000001
12/01/2015 00,10024.3825,9864.325
12/01/2015 01,9550.060000000001,9478.42
12/01/2015 02,9165.645,9140.615000000002
12/01/2015 03,8946.060000000001,8881.435000000001
12/01/2015 04,9027.122500000001,9002.5925
12/01/2015 05,9493.02,9560.1075
12/01/2015 06,10801.1225,10557.119999999999
12/01/2015 07,11927.48,11500.735
12/01/2015 08,12414.8675,11943.232499999998
12/01/2015 09,12440.114999999998,12484.835
12/01/2015 10,12479.915,12422.880000000001
12/01/2015 11,12631.324999999999,12431.724999999999
12/01/2015 12,12537.0,12371.760000000002
12/01/2015 13,12612.345000000001,12361.77
12/01/2015 14,12477.072499999998,12359.372499999998
12/01/2015 15,12404.445,12141.5125
12/01/2015 16,12454.0275,12287.565
12/01/2015 17,13034.45,12873.6875
12/01/2015 18,13064.2625,12977.09
12/01/2015 19,12546.2425,12460.6825
12/01/2015 20,11838.5175,11770.1325
12/01/2015 21,11230.140000000001,11190.919999999998
12/01/2015 22,11293.81,11173.9325
